feature_id,feature_name,aliases,description
353,BIRC3,"['AIP1', 'API2', 'BIRC3', 'CIAP2', 'HAIP1', 'HIAP1', 'IAP-1', 'MALT2', 'MIHC', 'RNF49', 'c-IAP2']",
355,BIRC5,"['API4', 'BIRC5', 'EPR-1']",
375,FAS,"['ALPS1A', 'APO-1', 'APT1', 'CD95', 'FAS', 'FAS1', 'FASTM', 'TNFRSF6']",
389,AREG,"['AR', 'AREG', 'AREGB', 'CRDGF', 'SDGF']",
399,RHOA,"['ARH12', 'ARHA', 'EDFAOB', 'RHO12', 'RHOA', 'RHOH12']",
436,ASCL1,"['ASCL1', 'ASH1', 'HASH1', 'MASH1', 'bHLHa46']",
446,ASNS,"['ASNS', 'ASNSD', 'TS11']",
450,ASS1,"['ASS', 'ASS1', 'CTLN1']",
519,ATP7B,"['ATP7B', 'PWD', 'WC1', 'WD', 'WND']",
524,ATR,"['ATR', 'FCTCS', 'FRP1', 'MEC1', 'SCKL', 'SCKL1']",
525,ATRX,"['ATRX', 'JMS', 'MRX52', 'RAD54', 'RAD54L', 'XH2', 'XNP', 'ZNF-HX']",
533,AXL,"['ARK', 'AXL', 'AXL3', 'JTK11', 'Tyro7', 'UFO']",
537,B2M,"['AMYLD6', 'B2M', 'IMD43', 'MHC1D4']",
549,BARD1,['BARD1'],
550,BAX,"['BAX', 'BCL2L4']",
566,BCL6,"['BCL5', 'BCL6', 'BCL6A', 'LAZ3', 'ZBTB27', 'ZNF51']",
567,BCL7A,"['BCL7', 'BCL7A', 'SMARCJ1']",
570,TNFRSF17,"['BCM', 'BCMA', 'CD269', 'TNFRSF13A', 'TNFRSF17']",
588,CEACAM1,"['BGP', 'BGP1', 'BGPI', 'CEACAM1']",
593,PRDM1,"['BLIMP-1', 'BLIMP1', 'PRDI-BF1', 'PRDM1']",
594,BLK,"['BLK', 'MODY11']",
608,BMP7,"['BMP7', 'OP-1']",
625,ZFP36L1,"['BRF1', 'Berg36', 'ERF-1', 'ERF1', 'RNF162B', 'TIS11B', 'ZFP36L1', 'cMG1']",
634,KLF5,"['BTEB2', 'CKLF', 'IKLF', 'KLF5']",
638,BTG1,"['APRO2', 'BTG1']",
