feature_id,feature_name,aliases,description
3466,MDM4,"['BMFS6', 'HDMX', 'MDM4', 'MDMX', 'MRP1']",
3471,MECP2,"['AUTSX3', 'MECP2', 'MRX16', 'MRX79', 'MRXS13', 'MRXSL', 'PPMX', 'RS', 'RTS', 'RTT']",
3475,MEF2C,"['C5DELq14.3', 'DEL5q14.3', 'MEF2C', 'NEDHSIL']",
3480,MAP3K1,"['MAP3K1', 'MAPKKK1', 'MEKK', 'MEKK 1', 'MEKK1', 'SRXY6']",
3485,MEN1,"['MEAI', 'MEN1', 'SCG2']",
3512,CIITA,"['C2TA', 'CIITA', 'CIITAIV', 'MHC2D1', 'MHC2TA', 'NLRA']",
3527,MITF,"['CMM8', 'COMMAD', 'MI', 'MITF', 'MITF-A', 'WS2', 'WS2A', 'bHLHe32']",
3529,MKI67,"['KIA', 'MIB-', 'MIB-1', 'MKI67', 'PPP1R105']",
3532,MLH1,"['COCA2', 'FCC2', 'HNPCC', 'HNPCC2', 'LYNCH2', 'MLH-1', 'MLH1', 'MMRCS1', 'hMLH1']","MLH1 is a tumor suppressor gene involved in DNA mismatch repair. Germline mutations in this gene are known to cause Lynch syndrome. The most common malignancies in Lynch syndrome are colorectal and endometrial carcinomas. In addition to germline mutations, somatic mutations in this gene have been described in colorectal and endometrial cancers."
3537,KMT2A,"['ALL-1', 'ALL1', 'CXXC7', 'GAS7', 'HRX', 'HTRX', 'HTRX1', 'KMT2A', 'MLL', 'MLL1', 'MLL1A', 'TRX1', 'WDSTS']",
3549,MMP2,"['CLG4', 'CLG4A', 'MMP-2', 'MMP-II', 'MMP2', 'MONA', 'TBE-1']",
3553,MMP9,"['CLG4B', 'GELB', 'MANDP2', 'MMP-9', 'MMP9']",
3558,MMP14,"['MMP-14', 'MMP-X1', 'MMP14', 'MT-MMP', 'MT-MMP 1', 'MT1-MMP', 'MT1MMP', 'MTMMP1', 'WNCHRS']",
3564,MN1,"['CEBALID', 'MGCR', 'MGCR1', 'MGCR1-PEN', 'MN1', 'dJ353E16.2']",
3577,MPL,"['C-MPL', 'CD110', 'MPL', 'MPLV', 'THCYT2', 'THPOR', 'TPOR']",
3586,MRE11,"['ATLD', 'HNGS1', 'MRE11', 'MRE11A', 'MRE11B']",
3608,MS,"['MS', 'MS1']",
3628,MSH2,"['COCA1', 'FCC1', 'HNPCC', 'HNPCC1', 'LCFS2', 'LYNCH1', 'MMRCS2', 'MSH-2', 'MSH2', 'hMSH2']",
3629,MSH3,"['DUP', 'FAP4', 'MRP1', 'MSH3']",
3659,MTAP,"['BDMF', 'DMSFH', 'DMSMFH', 'HEL-249', 'LGMBF', 'MSAP', 'MTAP', 'c86fus']",
3672,MTHFR,['MTHFR'],
3730,MYB,"['Cmyb', 'MYB', 'c-myb', 'c-myb_CDS', 'efg']",
3731,MYBL1,"['A-MYB', 'AMYB', 'MYBL1']",
3733,MYBL2,"['B-MYB', 'BMYB', 'MYBL2']",
3737,MYC,"['MRTL', 'MYC', 'MYCC', 'bHLHe39', 'c-Myc']",
3738,MYCL,"['L-Myc', 'LMYC', 'MYCL', 'MYCL1', 'bHLHe38']",
3741,MYCN,"['FGLDS1', 'MODED', 'MPAPA', 'MYCN', 'MYCNsORF', 'MYCNsPEP', 'N-myc', 'NMYC', 'ODED', 'bHLHe37']",
3742,MYD88,"['IMD68', 'MYD88', 'MYD88D', 'WM1']",
3777,MYOD1,"['CMYO17', 'CMYP17', 'MYF3', 'MYOD', 'MYOD1', 'MYODRIF', 'PUM', 'bHLHc1']",
3798,CEACAM6,"['CD66c', 'CEACAM6', 'CEAL', 'NCA', 'NCA-50/90']",
3801,NBN,"['AT-V1', 'AT-V2', 'ATV', 'NBN', 'NBS', 'NBS1', 'P95', 'hNbs1']",
3852,NEDD9,"['CAS-L', 'CAS2', 'CASL', 'CASS2', 'HEF1', 'NEDD9']",
3857,NEK1,"['ALS24', 'NEK1', 'NY-REN-55', 'OFD2', 'SRPS2', 'SRPS2A', 'SRTD6']",
3867,NF1,"['NF1', 'NFNS', 'VRNF', 'WSS']",
3870,NF2,"['ACN', 'BANF', 'NF2', 'SCH', 'SWNV', 'merlin-1']",
3878,NFE2L2,"['HEBP1', 'IMDDHH', 'NFE2L2', 'NRF2', 'Nrf-2']",
3885,NFKBIA,"['EDAID2', 'IKBA', 'MAD-3', 'NFKBI', 'NFKBIA']",
3887,NFKBIE,"['IKBE', 'NFKBIE']",
3915,NM,"['GP130', 'NCR', 'NM']",
3929,NOS2,"['HEP-NOS', 'INOS', 'NOS', 'NOS2', 'NOS2A']",
3935,NOTCH2,"['AGS2', 'HJCYS', 'NOTCH2', 'hN2']",
3936,NOTCH3,"['CADASIL', 'CADASIL1', 'CASIL', 'IMF2', 'LMNS', 'NOTCH3']",
3976,NT5E,"['CALJA', 'CD73', 'E5NT', 'NT', 'NT5', 'NT5E', 'NTE', 'eN', 'eNT']",
3983,NTRK1,"['MTC', 'NTRK1', 'TRK', 'TRK1', 'TRKA', 'Trk-A', 'p140-TrkA']",
3984,NTRK2,"['DEE58', 'EIEE58', 'GP145-TrkB', 'NTRK2', 'OBHD', 'TRKB', 'trk-B']",
3985,NTRK3,"['GP145-TrkC', 'NTRK3', 'TRKC', 'gp145(trkC)']",
4046,ORC1,"['HSORC1', 'ORC1', 'ORC1L', 'PARC1']",
4093,SERPINE1,"['PAI', 'PAI-1', 'PAI1', 'PLANH1', 'SERPINE1']",
4103,PRKN,"['AR-JP', 'LPRS2', 'PARK2', 'PDJ', 'PRKN']",
4111,PAX5,"['ALL3', 'BSAP', 'PAX-5', 'PAX5']",
4123,PCBP1,"['HEL-S-85', 'HNRPE1', 'HNRPX', 'PCBP1', 'hnRNP-E1', 'hnRNP-X']",
4137,PCNA,"['ATLD2', 'PCNA']",
4152,PDCD1,"['CD279', 'PD-1', 'PD1', 'PDCD1', 'SLEB2', 'hPD-1', 'hPD-l', 'hSLE1']",
4173,PDGFB,"['IBGC5', 'PDGF-2', 'PDGF2', 'PDGFB', 'SIS', 'SSV', 'c-sis']",
4176,PDGFRB,"['CD140B', 'IBGC4', 'IMF1', 'JTK12', 'KOGS', 'PDGFR', 'PDGFR-1', 'PDGFR1', 'PDGFRB', 'PENTT']",
4244,ABCB1,"['ABC20', 'ABCB1', 'CD243', 'CLCS', 'GP170', 'MDR1', 'P-GP', 'PGY1', 'p-170']",
4285,PIK3CB,"['P110BETA', 'PI3K', 'PI3KBETA', 'PIK3C1', 'PIK3CB']",
4286,PIM1,"['PIM', 'PIM1']",
4289,PIK3R1,"['AGM7', 'GRB1', 'IMD36', 'PIK3R1', 'p85', 'p85-ALPHA', 'p85alpha']",
4290,PIK3R2,"['MPPH', 'MPPH1', 'P85B', 'PIK3R2', 'p85', 'p85-BETA', 'p85beta']",
4326,PLCG1,"['IDAA', 'NCKAP3', 'PLC-II', 'PLC1', 'PLC148', 'PLCG1', 'PLCgamma1']",
4327,PLCG2,"['APLAID', 'FCAS3', 'PLC-IV', 'PLC-gamma-2', 'PLCG2']",
4337,PLK1,"['PLK', 'PLK1', 'STPK13']",
4371,PMS2,"['HNPCC4', 'LYNCH4', 'MLH4', 'MMRCS4', 'PMS-2', 'PMS2', 'PMS2CL', 'PMSL2']",
4383,POLB,['POLB'],
4384,POLD1,"['CDC2', 'CRCS10', 'IMD120', 'MDPL', 'POLD', 'POLD1']",
4386,POLE,"['CRCS12', 'FILS', 'IMAGEI', 'POLE', 'POLE1']",
4409,POU2AF1,"['BOB1', 'OBF-1', 'OBF1', 'OCAB', 'POU2AF1']",
4411,POU2F2,"['OCT2', 'OTF2', 'Oct-2', 'POU2F2']",
4419,POU5F1,"['OCT3', 'OCT4', 'OTF-3', 'OTF3', 'OTF4', 'Oct-3', 'Oct-4', 'Oct3/4', 'POU5F1']",
4463,PPP2R1A,"['HJS2', 'MRD36', 'PP2A-Aalpha', 'PP2AA', 'PP2AAALPHA', 'PPP2R1A', 'PR65A']",
4465,PPP2R2A,"['B55A', 'B55ALPHA', 'PPP2R2A', 'PR52A', 'PR55A', 'PR55alpha']",
4503,PRKAA2,"['AMPK', 'AMPK2', 'AMPKa2', 'PRKAA', 'PRKAA2']",
4511,PRKAR1A,"['ACRDYS1', 'ADOHR', 'CAR', 'CNC', 'CNC1', 'PKR1', 'PPNAD1', 'PRKAR1', 'PRKAR1A', 'Prkar1alpha', 'TSE1']",
4517,PRKCB,"['PKC-beta', 'PKCB', 'PKCI(2)', 'PKCbeta', 'PRKCB', 'PRKCB1', 'PRKCB2']",
4529,PRKDC,"['DNA-PKC', 'DNA-PKcs', 'DNAPK', 'DNAPKc', 'DNPK1', 'HYRC', 'HYRC1', 'IMD26', 'PRKDC', 'XRCC7', 'p350']",
4532,MAPK1,"['ERK', 'ERK-2', 'ERK2', 'ERT1', 'MAPK1', 'MAPK2', 'NS13', 'P42MAPK', 'PRKM1', 'PRKM2', 'p38', 'p40', 'p41', 'p41mapk', 'p42-MAPK']",
4542,MAP2K2,"['CFC4', 'MAP2K2', 'MAPKK2', 'MEK2', 'MKK2', 'PRKMK2']",
4546,MAP2K7,"['JNKK2', 'MAP2K7', 'MAPKK7', 'MEK', 'MEK 7', 'MKK7', 'PRKMK7', 'SAPKK-4', 'SAPKK4']",
4566,PRPS1,"['ARTS', 'CMTX5', 'DFN2', 'DFNX1', 'PPRibP', 'PRPS1', 'PRS-I', 'PRSI']",
4616,PSMB8,"['ALDD', 'D6S216', 'D6S216E', 'JMP', 'LMP7', 'NKJO', 'PRAAS1', 'PSMB5i', 'PSMB8', 'RING10']",
4630,PSMD4,"['AF', 'AF-1', 'ASF', 'MCB1', 'PSMD4', 'Rpn10', 'S5A', 'pUB-R5']",
4645,PTCH1,"['BCNS', 'BCNS1', 'NBCCS', 'PTC', 'PTC1', 'PTCH', 'PTCH1']",
4659,PTGS2,"['COX-2', 'COX2', 'GRIPGHS', 'PGG/HS', 'PGHS-2', 'PHS-2', 'PTGS2', 'hCox-2']",
4682,PTPN6,"['HCP', 'HCPH', 'HPTP1C', 'PTP-1C', 'PTPN6', 'SH-PTP1', 'SHP-1', 'SHP-1L', 'SHP1']",
4685,PTPN11,"['BPTP3', 'CFC', 'JMML', 'METCDS', 'NS1', 'PTP-1D', 'PTP2C', 'PTPN11', 'SH-PTP2', 'SH-PTP3', 'SHP2']",
4686,PTPN12,"['PTP-PEST', 'PTPG1', 'PTPN12']",
4690,PTPRB,"['HPTP-BETA', 'HPTPB', 'PTPB', 'PTPRB', 'R-PTP-BETA', 'VEPTP']",
4692,PTPRD,"['HPTP', 'HPTPD', 'HPTPDELTA', 'PTPD', 'PTPRD', 'R-PTP-delta', 'RPTPDELTA']",
4695,PTPRF,"['BNAH2', 'LAR', 'PTPRF']",
4760,RAD23B,"['HHR23B', 'HR23B', 'P58', 'RAD23B']",
4762,RAD51C,"['BROVCA3', 'FANCO', 'R51H3', 'RAD51C', 'RAD51L2']",
4763,RAD51B,"['R51H2', 'RAD51B', 'RAD51L1', 'REC2']",
4765,RAD51D,"['BROVCA4', 'R51H3', 'RAD51D', 'RAD51L3', 'TRAD']",
4767,RAF1,"['CMD1NN', 'CRAF', 'NS5', 'RAF1', 'Raf-1', 'c-Raf']",
4791,RASA1,"['CM-AVM', 'CMAVM', 'CMAVM1', 'GAP', 'PKWS', 'RASA', 'RASA1', 'RASGAP', 'p120', 'p120GAP', 'p120RASGAP']",
4795,RB1,"['OSRC', 'PPP1R130', 'RB', 'RB1', 'p105-Rb', 'p110-RB1', 'pRb', 'pp110']",
4863,RGS16,"['A28-RGS14', 'A28-RGS14P', 'RGS-R', 'RGS16']",
4868,RHEB,"['RHEB', 'RHEB2']",
4875,RIT1,"['NS8', 'RIBB', 'RIT', 'RIT1', 'ROC1']",
5013,RPS6,"['RPS6', 'S6', 'eS6']",
5051,RRM1,"['PEOB6', 'R1', 'RIR1', 'RR1', 'RRM1']",
5052,RRM2,"['C2orf48', 'R2', 'RR2', 'RR2M', 'RRM2']",
5087,S100B,"['NEF', 'S100', 'S100-B', 'S100B', 'S100beta']",
5112,ATXN7,"['ADCAII', 'ATXN7', 'OPCA3', 'SCA7', 'SGF73']",
5128,SCN8A,"['BFIS5', 'CERIII', 'CIAT', 'DEE13', 'EIEE13', 'MED', 'MYOCL2', 'NaCh6', 'Nav1.6', 'PN4', 'SCN8A']",
5167,CX3CL1,"['ABCD-3', 'C3Xkine', 'CX3CL1', 'CXC3', 'CXC3C', 'NTN', 'NTT', 'SCYD1', 'fractalkine', 'neurotactin']",
5176,SDHA,"['CMD1GG', 'FP', 'MC2DN1', 'NDAXOA', 'PGL5', 'PPGL5', 'SDH1', 'SDH2', 'SDHA', 'SDHF']",
5177,SDHB,"['CWS2', 'IP', 'MC2DN4', 'PGL4', 'PPGL4', 'SDH', 'SDH1', 'SDH2', 'SDHB', 'SDHIP']",
5178,SDHC,"['CYB560', 'CYBL', 'PGL3', 'PPGL3', 'QPS1', 'SDH3', 'SDHC']",
5179,SDHD,"['CBT1', 'CII-4', 'CWS3', 'MC2DN3', 'PGL', 'PGL1', 'PPGL1', 'QPs3', 'SDH4', 'SDHD', 'cybS']",
5200,MAP2K4,"['JNKK', 'JNKK1', 'MAP2K4', 'MAPKK4', 'MEK4', 'MKK4', 'PRKMK4', 'SAPKK-1', 'SAPKK1', 'SEK1', 'SERK1', 'SKK1']",
5210,SRSF2,"['PR264', 'SC-35', 'SC35', 'SFRS2', 'SFRS2A', 'SRSF2', 'SRp30b']",
5225,SGK1,"['SGK', 'SGK1']",
5323,SLC12A2,"['BSC', 'BSC-2', 'BSC2', 'CCC1', 'KILQS', 'NKCC1', 'PPP1R141', 'SLC12A2']",
5354,SMARCA2,"['BAF190', 'BIS', 'BRM', 'NCBRS', 'SMARCA2', 'SNF2', 'SNF2L2', 'SNF2LA', 'SWI2', 'Sth1p', 'hBRM', 'hSNF2a']",
5356,SMARCB1,"['BAF47', 'CSS3', 'INI-1', 'INI1', 'MRD15', 'PPP1R144', 'RDT', 'RTPS1', 'SMARCB1', 'SNF5', 'SNF5L1', 'SWNTS1', 'Sfh1p', 'Snr1', 'hSNFS']",
5365,SMO,"['CRJS', 'FZD11', 'Gx', 'PHLS', 'SMO', 'SMOH']",
5409,SOS1,"['GF1', 'GGF1', 'GINGF', 'HGF', 'NS4', 'SOS-1', 'SOS1']",
5418,SOX10,"['DOM', 'PCWH', 'SOX-10', 'SOX10', 'WS2E', 'WS4', 'WS4C']",
5461,SQLE,['SQLE'],
5494,SST,"['SMST', 'SST', 'SST1']",
5499,SSTR5,"['SS-5-R', 'SST5', 'SSTR5']",
5514,STAT1,"['CANDF7', 'IMD31A', 'IMD31B', 'IMD31C', 'ISGF-3', 'STAT1', 'STAT91']",
5516,STAT3,"['ADMIO', 'ADMIO1', 'APRF', 'HIES', 'STAT3']",
5519,STAT5B,"['GHISID2', 'STAT5', 'STAT5B']",
5520,STAT6,"['D12S1644', 'HIES6', 'IL-4-STAT', 'STAT6', 'STAT6B', 'STAT6C']",
5525,SULT1E1,"['EST', 'EST-1', 'ST1E1', 'STE', 'SULT1E1']",
5534,STK11,"['LKB1', 'PJS', 'STK11', 'hLKB1']",
5572,SYK,"['IMD82', 'SYK', 'p72-Syk']",
5581,TBXT,"['SAVA', 'T', 'TBXT', 'TFT']",
5627,TBX2,"['TBX2', 'VETD']",
5646,TCF3,"['AGM8', 'AGM8A', 'AGM8B', 'E2A', 'E47', 'ITF1', 'TCF-3', 'TCF3', 'VDIR', 'bHLHb21', 'p75']",
5649,ZEB1,"['AREB6', 'BZP', 'DELTAEF1', 'FECD6', 'NIL2A', 'PPCD3', 'TCF8', 'ZEB1', 'ZFHEP', 'ZFHX1A']",
5654,TCF19,"['SC1', 'TCF-19', 'TCF19']",
5717,TEK,"['CD202B', 'GLC3E', 'TEK', 'TIE-2', 'TIE2', 'VMCM', 'VMCM1']",
5723,TF,"['HEL-S-71p', 'PRO1557', 'PRO2086', 'TF', 'TFQTL1']",
5728,TFAP4,"['AP-4', 'TFAP4', 'bHLHc41']",
5729,TFCP2,"['LBP1C', 'LSF', 'LSF1D', 'SEF', 'TFCP2', 'TFCP2C']",
5731,NR2F2,"['ARP-1', 'ARP1', 'CHTD4', 'COUPTF2', 'COUPTFB', 'COUPTFII', 'NF-E3', 'NR2F2', 'SRXX5', 'SVP40', 'TFCOUP2']",
5737,TFF3,"['ITF', 'P1B', 'TFF3', 'TFI']",
5742,TGFA,"['TFGA', 'TGFA']",
5745,TGFB2,"['G-TSF', 'LDS4', 'TGF-beta2', 'TGFB2']",
5752,TGFBR3,"['BGCAN', 'TGFBR3', 'betaglycan']",
5761,THBS2,"['EDSCLL3', 'THBS2', 'TSP2']",
5777,TIMP1,"['CLGI', 'EPA', 'EPO', 'HCI', 'TIMP', 'TIMP-1', 'TIMP1']",
5814,TMSB4X,"['FX', 'PTMB4', 'TB4X', 'TMSB4', 'TMSB4X']",
5828,TNFAIP3,"['A20', 'AIFBL1', 'AISBL', 'OTUD7C', 'TNFA1P2', 'TNFAIP3']",
5837,TNNT2,"['CMD1D', 'CMH2', 'CMPD2', 'LVNC6', 'RCM3', 'TNNT2', 'TnTC', 'cTnT']",
5845,TOP1,"['TOP1', 'TOPI']",
5848,TOP2A,"['TOP2', 'TOP2A', 'TOP2alpha', 'TOPIIA', 'TP2A']",
5852,TP53BP1,"['53BP1', 'TDRD30', 'TP53BP1', 'p202', 'p53BP1']",
5870,TPT1,"['HRF', 'TCTP', 'TPT1', 'p02', 'p23']",
5876,HSP90B1,"['ECGP', 'GP96', 'GRP94', 'HEL-S-125m', 'HEL35', 'HSP90B1', 'TRA1']",
5939,TSPYL1,"['TSPYL', 'TSPYL1']",
5970,TYK2,"['IMD35', 'JTK1', 'TYK2']",
5971,TYMS,"['DKCD', 'HST422', 'TMS', 'TS', 'TYMS']",
5972,TYR,"['ATN', 'CMM8', 'OCA1', 'OCA1A', 'OCAIA', 'SHEP3', 'TYR']",
5988,UBE2A,"['HHR6A', 'MRXS30', 'MRXSN', 'RAD6A', 'UBC2', 'UBE2A']",
6009,UBTF,"['CONDBA', 'NOR-90', 'UBF', 'UBF-1', 'UBF1', 'UBF2', 'UBTF']",
6015,UCP2,"['BMIQ4', 'SLC25A8', 'UCP2', 'UCPH']",
6023,UGT1A,"['GNT1', 'UGT', 'UGT1', 'UGT1A', 'UGT1A@']",
6037,UPP1,"['UDRPASE', 'UP', 'UPASE', 'UPP', 'UPP1']",
6054,KDM6A,"['KABUK2', 'KDM6A', 'UTX', 'bA386N14.2']",
6071,VEGFA,"['L-VEGF', 'MVCD1', 'VEGF', 'VEGFA', 'VPF']",
6073,VEGFC,"['Flt4-L', 'LMPH1D', 'LMPHM4', 'VEGFC', 'VRP']",
6104,WEE1,"['WEE1', 'WEE1A', 'WEE1hu']",
6107,NSD2,"['KMT3F', 'KMT3G', 'MMSET', 'NSD2', 'RAUST', 'REIIBP', 'TRX5', 'WHS', 'WHSC1']",
6119,WNT11,"['HWNT11', 'WNT11']",
6120,WNT2B,"['WNT13', 'WNT2B']",
6143,XPO1,"['CRM-1', 'CRM1', 'XPO1', 'emb', 'exp1']",
6144,XRCC1,"['RCC', 'SCAR26', 'XRCC1']",
6146,XRCC3,"['CMM6', 'XRCC3']",
6152,YES1,"['HsT441', 'P61-YES', 'YES1', 'Yes', 'c-yes']",
6281,ZNF217,"['ZABC1', 'ZNF217']",
6317,BTG2,"['APRO1', 'BTG2', 'PC3', 'TIS21']",
6329,CXCR4,"['CD184', 'CXCR4', 'D2S201E', 'FB22', 'HM89', 'HSY3RR', 'LAP-3', 'LAP3', 'LCR1', 'LESTR', 'NPY3R', 'NPYR', 'NPYRL', 'NPYY3R', 'WHIM', 'WHIMS', 'WHIMS1']",
6340,USP7,"['C16DELp13.2', 'DEL16P13.2', 'HAFOUS', 'HAUSP', 'TEF1', 'USP7']",
6380,TFEB,"['ALPHATFEB', 'BHLHE35', 'TCFEB', 'TFEB']",
6394,AIMP2,"['AIMP2', 'HLD17', 'JTV-1', 'JTV1', 'P38']",
6415,NR4A3,"['CHN', 'CSMF', 'MINOR', 'NOR1', 'NR4A3']",
6523,LZTR1,"['BTBD29', 'LZTR-1', 'LZTR1', 'NS10', 'NS2', 'SWNTS2']",
6534,ZRSR2,"['U2AF1-RS2', 'U2AF1L2', 'U2AF1RS2', 'URP', 'ZC3H22', 'ZRSR2']",
6538,KDM5C,"['DXS1272E', 'JARID1C', 'KDM5C', 'MRX13', 'MRXJ', 'MRXSCJ', 'MRXSJ', 'SMCX', 'XE169']",
6559,ARID1A,"['ARID1A', 'B120', 'BAF250', 'BAF250a', 'BM029', 'C1orf4', 'CSS2', 'ELD', 'MRD14', 'OSA1', 'P270', 'SMARCF1', 'hELD', 'hOSA1']",
6572,AXIN2,"['AXIL', 'AXIN2', 'ODCRCS']",
6590,H2AC6,"['H2A/l', 'H2AC6', 'H2AFL', 'HIST1H2AC', 'dJ221C16.4']",
6592,H2AC17,"['H2A.1', 'H2A/n', 'H2AC11', 'H2AC13', 'H2AC15', 'H2AC16', 'H2AC17', 'H2AFN', 'HIST1H2AM', 'dJ193B12.1']",
6608,H3C3,"['H3.1', 'H3/c', 'H3C1', 'H3C10', 'H3C11', 'H3C12', 'H3C2', 'H3C3', 'H3C4', 'H3C6', 'H3C7', 'H3C8', 'H3FC', 'HIST1H3C']",
6614,H3C2,"['H3/l', 'H3C1', 'H3C10', 'H3C11', 'H3C12', 'H3C2', 'H3C3', 'H3C4', 'H3C6', 'H3C7', 'H3C8', 'H3FL', 'HIST1H3B']",
6652,SPOP,"['BTBD32', 'NEDMACE', 'NEDMIDF', 'NSDVS1', 'NSDVS2', 'SPOP', 'TEF2']",
6676,RAD54L,"['HR54', 'RAD54A', 'RAD54L', 'hHR54', 'hRAD54']",
6772,LGR5,"['FEX', 'GPR49', 'GPR67', 'GRP49', 'HG38', 'LGR5']",
6845,AOC3,"['AOC3', 'HPAO', 'SSAO', 'VAP-1', 'VAP1']",
6856,SOCS1,"['AISIMD', 'CIS1', 'CISH1', 'JAB', 'SOCS-1', 'SOCS1', 'SSI-1', 'SSI1', 'TIP-3', 'TIP3']",
6862,IRS2,"['IRS-2', 'IRS2']",
6906,ABCC3,"['ABC31', 'ABCC3', 'EST90757', 'MLP2', 'MOAT-D', 'MRP3', 'cMOAT2']",
6928,TNFSF14,"['CD258', 'HVEML', 'LIGHT', 'LTg', 'TNFSF14']",
6945,TNFRSF14,"['ATAR', 'CD270', 'HVEA', 'HVEM', 'LIGHTR', 'TNFRSF14', 'TR2']",
7009,CFLAR,"['CASH', 'CASP8AP1', 'CFLAR', 'CLARP', 'Casper', 'FLAME', 'FLAME-1', 'FLAME1', 'FLIP', 'I-FLICE', 'MRIT', 'c-FLIP', 'c-FLIPL', 'c-FLIPR', 'c-FLIPS', 'cFLIP']",
7014,PROM1,"['AC133', 'CD133', 'CORD12', 'MCDR2', 'MSTP061', 'PROM1', 'PROML1', 'RP41', 'STGD4']",
7024,ALDH1A2,"['ALDH1A2', 'DIH4', 'RALDH(II)', 'RALDH2', 'RALDH2-T']",
7041,SPHK1,"['SPHK', 'SPHK1']",
7044,FUBP1,"['FBP', 'FUBP', 'FUBP1', 'hDH V']",
7074,BCL10,"['BCL10', 'CARMEN', 'CIPER', 'CLAP', 'IMD37', 'c-E10', 'mE10']",
7084,MBD4,"['MBD4', 'MED1', 'TPDS2', 'UVM1']",
7098,H3C7,"['H3/i', 'H3C1', 'H3C10', 'H3C11', 'H3C12', 'H3C2', 'H3C3', 'H3C4', 'H3C6', 'H3C7', 'H3C8', 'H3FI', 'HIST1H3F']",
7194,USP10,"['UBPO', 'USP10']",
7222,CCNE2,"['CCNE2', 'CYCE2']",
7282,AURKB,"['AIK2', 'AIM-1', 'AIM1', 'ARK-2', 'ARK2', 'AURKB', 'AurB', 'IPL1', 'PPP1R48', 'STK-1', 'STK12', 'STK5', 'aurkb-sv1', 'aurkb-sv2']",
7297,PTTG1,"['EAP1', 'ECRAR', 'HPTTG', 'PTTG', 'PTTG1', 'TUTR1']",
7339,S1PR2,"['AGR16', 'DFNB68', 'EDG-5', 'EDG5', 'Gpcr13', 'H218', 'LPB2', 'S1P2', 'S1PR2']",
7351,CD83,"['BL11', 'CD83', 'HB15']",
7356,KLF4,"['EZF', 'GKLF', 'KLF4']",
7411,GRHPR,"['GLXR', 'GLYD', 'GRHPR', 'PH2']",
7451,ABCG2,"['ABC15', 'ABCG2', 'ABCP', 'BCRP', 'BCRP1', 'BMDP', 'CD338', 'CDw338', 'CDw388', 'EST157481', 'GOUT1', 'MRX', 'MXR', 'MXR-1', 'MXR1', 'UAQTL1']",
7502,KIF23,"['CDA3', 'CDAIII', 'CDAN3', 'CDAN3A', 'CHO1', 'KIF23', 'KNSL5', 'MKLP-1', 'MKLP1']",
7582,WTAP,"['Mum2', 'WTAP']",
7608,SNCAIP,"['SNCAIP', 'SYPH1', 'Sph1']",
7611,GNA14,"['GNA14', 'HG1I']",
7704,HDAC9,"['ARCND4', 'HD7', 'HD7b', 'HD9', 'HDAC', 'HDAC7', 'HDAC7B', 'HDAC9', 'HDAC9B', 'HDAC9FL', 'HDRP', 'MITR']",
7728,TOX,"['TOX', 'TOX1']",
7777,KEAP1,"['INrf2', 'KEAP1', 'KLHL19']",
7780,CUL7,"['3M1', 'CUL-7', 'CUL7', 'KIAA0076', 'dJ20C7.5']",
7784,SPATA2,"['PD1', 'PPP1R145', 'SPATA2', 'tamo']",
7818,MAGI2,"['ACVRIP1', 'AIP-1', 'AIP1', 'ARIP1', 'MAGI-2', 'MAGI2', 'NPHS15', 'SSCAM']",
7882,MAFB,"['DURS3', 'KRML', 'MAFB', 'MCTO']",
7909,FGF19,['FGF19'],
7936,AKT3,"['AKT3', 'MPPH', 'MPPH2', 'PKB-GAMMA', 'PKBG', 'PRKBG', 'RAC-PK-gamma', 'RAC-gamma', 'STK-2']",
7948,HDAC6,"['CPBHM', 'HD6', 'HDAC6', 'JM21', 'KDAC6', 'PPP1R90']",
7949,HDAC5,"['HD5', 'HDAC5', 'NY-CO-9']",
7953,BCL2L11,"['BAM', 'BCL2L11', 'BIM', 'BOD']",
7954,SH2B3,"['IDDM20', 'LNK', 'SH2B3']",
8032,RAD50,"['NBSLD', 'RAD50', 'RAD502', 'hRad50']",
8132,CD96,"['CD96', 'TACTILE']",
8160,SPRY2,"['IGAN3', 'SPRY2', 'hSPRY2']",
8197,MAEA,"['EMLP', 'EMP', 'GID9', 'HLC-10', 'MAEA', 'P44EMLP', 'PIG5']",
8253,KLF2,"['KLF2', 'LKLF']",
8262,TUBB3,"['CDCBM', 'CDCBM1', 'CFEOM3', 'CFEOM3A', 'FEOM3', 'TUBB3', 'TUBB4', 'beta-4']",
8292,YAP1,"['COB1', 'YAP', 'YAP-1', 'YAP1', 'YAP2', 'YAP65', 'YKI']",
8331,MERTK,"['MER', 'MERTK', 'RP38', 'Tyro12', 'c-Eyk', 'c-mer']",
8338,FST,"['FS', 'FST']",
8351,HOXB13,"['HOXB13', 'HPC9', 'PSGD']",
8407,AGR2,"['AG-2', 'AG2', 'AGR2', 'GOB-4', 'HAG-2', 'HEL-S-116', 'HPC8', 'PDIA17', 'RIFTD', 'XAG-2']",
8450,SLCO1B1,"['HBLRR', 'LST-1', 'LST1', 'OATP-C', 'OATP1B1', 'OATP2', 'OATPC', 'SLC21A6', 'SLCO1B1']",
8508,CTCF,"['CFAP108', 'CTCF', 'FAP108', 'MRD21']",
8516,GNA13,"['G13', 'GNA13', 'HG1N']",
8524,DLL3,"['DLL3', 'SCDO1']",
8552,STAG3,"['SA3', 'SPGF61', 'STAG3']",
