gene_id,variant_id,molecular_profile_id,evidence_id
1.0,8.0,8,32.0
1.0,8.0,8,33.0
1.0,8.0,8,37.0
1.0,8.0,8,38.0
1.0,8.0,8,125.0
1.0,8.0,8,142.0
1.0,8.0,8,1271.0
1.0,8.0,8,1327.0
1.0,8.0,8,1329.0
1.0,8.0,8,2344.0
1.0,8.0,8,2345.0
1.0,8.0,8,4041.0
1.0,9.0,9,39.0
1.0,9.0,9,48.0
1.0,9.0,9,143.0
1.0,9.0,9,1269.0
1.0,9.0,9,1270.0
1.0,9.0,9,1331.0
1.0,9.0,9,2341.0
1.0,9.0,9,2342.0
1.0,9.0,9,7571.0
1.0,9.0,4235,11076.0
1.0,171.0,4236,1357.0
1.0,171.0,4236,4624.0
1.0,171.0,4237,441.0
1.0,171.0,4237,1345.0
1.0,171.0,4237,1350.0
1.0,171.0,4237,1351.0
1.0,171.0,4237,1352.0
1.0,171.0,4237,4625.0
1.0,171.0,4237,7593.0
1.0,171.0,4238,7595.0
1.0,171.0,4254,7591.0
1.0,171.0,4254,7592.0
1.0,171.0,4329,11114.0
1.0,172.0,4309,443.0
1.0,172.0,4309,1343.0
1.0,172.0,4309,4622.0
1.0,172.0,4310,2865.0
1.0,307.0,4255,763.0
1.0,308.0,4311,1342.0
1.0,308.0,4311,1353.0
1.0,308.0,4311,1354.0
1.0,308.0,4311,1355.0
1.0,308.0,4311,4617.0
1.0,308.0,4311,4618.0
1.0,308.0,4311,8861.0
1.0,308.0,4312,764.0
1.0,308.0,4312,765.0
1.0,308.0,4312,4619.0
1.0,308.0,4312,4620.0
1.0,308.0,4312,4621.0
1.0,308.0,4348,8887.0
1.0,512.0,508,1237.0
1.0,512.0,508,11286.0
1.0,527.0,523,1283.0
1.0,527.0,523,1284.0
1.0,527.0,523,1285.0
1.0,527.0,523,1287.0
1.0,527.0,523,1344.0
1.0,527.0,523,1367.0
1.0,527.0,523,1368.0
1.0,527.0,523,4610.0
1.0,527.0,523,4611.0
1.0,527.0,523,4612.0
1.0,528.0,4351,1286.0
1.0,528.0,4351,1288.0
1.0,528.0,4351,1289.0
